,unicode_hieroglyphs,unicode_transcription,lemma_translation,part-of-speech,tokenID
0,𓂜𓈖,nn,[Negationspartikel],particle,22TFIMS2CBBCFFCDSCAIT3HR3Y
1,𓎼𓎛𓀉,gḥ,matt sein,verb,IOLUGQXLCRGNLMTAPJ65LI7MHU
2,𓂝𓏏𓄹︀𓑀𓏥,ꜥ.t.PL,Glied; Körperteil,substantive,GUVBJUGCSVF5VN55PN6RYS4YLI
3,𓆑,⸗f,[Suffix Pron. sg.3.m.],pronoun,GIHCJ27JXVAM7GDUYWGEPKBRB4
4,𓇋𓊪𓈖,jp〈t〉n,diese [Dem.Pron. pl.f.],pronoun,Z6HTGGPBPRDT3OZTZNXRF2GRDA
5,𓁹𓊨𓀭,Wsr.w,Osiris (Totentitel des Verstorbenen),epitheton_title,UCFJWBLRKJG4NJWTWT22WDR2MU
6,𓇓𓏏𓈖,nzw,König,substantive,LI5FJI4ZUJEMPIKS5RQ5HHNBUE
7,𓎟𓇿𓇿,nb-Tꜣ.DU,Herr der Beiden Länder (Könige),epitheton_title,ICADWHGbHkfdokpooG4eCy3Zfe8
8,𓎟𓁹𓐍𓏏𓏛,nb-jr(.t)-(j)ḫ.t,Herr des Rituals,epitheton_title,ICADWHT2O1dc30SXuRZUlquIDpM
9,𓍹𓐼𓇋𓊃𓊪𓃭𓇿𓐽𓍺,Jsplt,Aspelta,entity_name,J3MLYALWVNAMDDG33VZ3RIEEUA
10,𓌷𓂝𓊤︂,mꜣꜥ-ḫrw,Gerechtfertigter (der selige Tote),substantive,OKLGJLCEQFHU7HDRYUTYR352YA
